bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
4,380161,86867,86867,7916,7926,5,5,1.5554819079774782e+00,2.5540142314390004e-08
4,479233,363355,363355,9980,9990,5,5,1.1936628703434977e+00,1.9055022746529367e-05
4,676561,993163,993163,14091,14101,5,5,9.6216419604315784e-01,8.6550737417879250e-04
4,912721,80629,80629,19011,19021,5,5,1.5754279765828314e+00,1.7435425720129260e-08
4,912913,126256,126256,19015,19025,5,5,1.4573756056717380e+00,1.6318558296011453e-07
4,913441,443837,443837,19026,19036,5,5,1.1462778940057625e+00,4.2972898690345883e-05
4,1209409,151104,151104,25192,25202,5,5,1.4110250013671868e+00,3.8639168645595766e-07
4,1338001,547460,547460,27871,27881,5,5,1.0973771568279125e+00,9.7882366210227909e-05
3,2250145,3499,3499,46874,46884,5,5,2.4592473037773286e+00,2.5533198634622889e-16
4,24756768,3689883,3689883,515760,515775,5,5,6.7786278975210723e-01,4.5365724444616687e-02
4,24806016,156026,156026,516786,516798,5,5,1.4028242991733242e+00,4.4959140605029079e-07
4,24806160,30478,30478,516788,516801,5,5,1.8393388057895890e+00,9.8201161336023356e-11
4,24806304,15356,15356,516792,516804,5,5,2.0336686267127608e+00,1.9060335581201689e-12
4,24806352,39860,39860,516793,516805,5,5,1.7667401595966252e+00,4.1725469804200567e-10
4,25152336,168759,168759,524002,524012,5,5,1.3828296911938003e+00,6.4960501042660662e-07
4,25266432,10948,10948,526378,526389,5,5,2.1304822965186530e+00,2.5862994803732063e-13
4,26202576,42061,42061,545879,545894,5,5,1.7520267331731629e+00,5.5835503149839912e-10
4,27092064,24455,24455,564410,564423,5,5,1.9010670783521797e+00,2.8370031382043373e-11
4,27912000,23989,23989,581495,581507,5,5,1.9065345097986421e+00,2.5402910591865594e-11
