bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
4,33087493,30356940,30356940,268905,269105,100,100,4.6281657084934585e-01,1.7493297880541497e-01
3,68281360,4990,4990,555034,555234,100,100,1.1336360421346077e+00,2.6728497340282069e-59
3,68281483,4705,4705,555035,555235,100,100,1.1393267380170813e+00,5.2089756710103503e-60
3,68281606,4861,4861,555036,555236,100,100,1.1362003144481985e+00,1.2800010351178265e-59
3,68281852,4978,4978,555038,555238,100,100,1.1338783445402523e+00,2.4933216950523295e-59
3,15972046,4197,4197,129755,129958,100,100,1.1481325990591473e+00,4.1069063294292782e-61
3,15972169,3467,3467,129756,129959,100,100,1.1633194260151001e+00,5.0000294204259739e-63
3,15972292,2862,2862,129757,129960,100,100,1.1807929235125596e+00,3.0061076785658693e-65
3,15972415,2293,2293,129758,129961,100,100,1.2001648407043450e+00,9.8557286720526077e-68
3,15972538,1863,1863,129759,129962,100,100,1.2182972726959305e+00,4.4458364737292809e-70
3,15972661,1811,1811,129760,129963,100,100,1.2215122468160569e+00,1.6983680023809827e-70
3,15972784,1837,1837,129761,129964,100,100,1.2202233997778045e+00,2.4982957396256410e-70
3,15972907,1836,1836,129762,129965,100,100,1.2202603046745752e+00,2.4708465503741016e-70
3,15973030,1794,1794,129763,129966,100,100,1.2229474327753493e+00,1.1047796295927076e-70
3,15973153,1745,1745,129764,129967,100,100,1.2258728140596755e+00,4.5944930439052345e-71
3,15973276,1782,1782,129765,129968,100,100,1.2237958498607828e+00,8.5667871069660527e-71
3,15973399,1834,1834,129766,129969,100,100,1.2202970884384194e+00,2.4437871249688065e-70
3,15973522,1841,1841,129767,129970,100,100,1.2199173548195168e+00,2.7379799707254926e-70
3,15973645,1910,1910,129768,129971,100,100,1.2155718877626214e+00,1.0040655162425230e-69
3,15973768,1890,1890,129769,129972,100,100,1.2164321495587318e+00,7.7647931625319815e-70
3,15973891,1838,1838,129770,129973,100,100,1.2202160759411631e+00,2.5037791771322928e-70
3,15974014,1830,1830,129771,129974,100,100,1.2205007729905231e+00,2.2992178424583105e-70
3,15974137,1843,1843,129772,129975,100,100,1.2197543525621852e+00,2.8748729117048579e-70
3,15974260,1821,1821,129773,129976,100,100,1.2210377404261130e+00,1.9577246619676222e-70
3,15974383,1958,1958,129774,129977,100,100,1.2131944412782221e+00,2.0419604797054241e-69
3,15974506,2128,2128,129775,129978,100,100,1.2056190415149763e+00,1.9504713891397886e-68
3,15974629,2061,2061,129776,129979,100,100,1.2077220199471681e+00,1.0432766003396814e-68
3,15974752,2189,2189,129777,129980,100,100,1.2040863631579191e+00,3.0762532622466817e-68
3,15974875,2091,2091,129778,129981,100,100,1.2066479715568896e+00,1.4362077983498797e-68
3,15974998,2127,2127,129779,129982,100,100,1.2056369255768884e+00,1.9401252513627252e-68
3,15975121,2198,2198,129780,129983,100,100,1.2038469719707370e+00,3.3030642746823452e-68
3,15975244,2259,2259,129781,129984,100,100,1.2016279795631697e+00,6.3845375603015822e-68
3,15975367,2204,2204,129782,129985,100,100,1.2036974249767094e+00,3.4531486470453094e-68
3,15975490,2125,2125,129783,129986,100,100,1.2056794930038839e+00,1.9157193940866139e-68
3,15975613,2152,2152,129784,129987,100,100,1.2051442113467754e+00,2.2462564158708900e-68
3,15975736,2264,2264,129785,129988,100,100,1.2014273253252599e+00,6.7763520305599571e-68
3,15975859,2187,2187,129786,129989,100,100,1.2041295185101302e+00,3.0370521899359699e-68
3,15975982,2071,2071,129787,129990,100,100,1.2073314467703069e+00,1.1718927821571435e-68
3,15976105,1980,1980,129788,129991,100,100,1.2118778992013588e+00,3.0242794420586188e-69
3,15976228,1993,1993,129789,129992,100,100,1.2111459097683503e+00,3.7619787332313638e-69
3,15976351,1930,1930,129790,129993,100,100,1.2146595737069175e+00,1.3185651366325016e-69
3,15976474,1892,1892,129791,129994,100,100,1.2163938451959657e+00,7.8541897305987726e-70
3,15976597,1864,1864,129792,129995,100,100,1.2182732189774890e+00,4.4779374327713912e-70
3,15976720,1799,1799,129793,129996,100,100,1.2224150249188137e+00,1.2958957309484481e-70
3,15976843,1762,1762,129794,129997,100,100,1.2248077755363678e+00,6.3243873361033864e-71
3,15976966,1596,1596,129795,129998,100,100,1.2409473883116466e+00,4.9090779151677920e-73
3,15977089,1593,1593,129796,129999,100,100,1.2413758997757831e+00,4.3129829474758797e-73
3,15977212,1598,1598,129797,130000,100,100,1.2405635837569629e+00,5.5124882228862399e-73
3,15977335,1534,1534,129798,130001,100,100,1.2462182207621619e+00,9.9709302187023957e-74
3,15977458,1436,1436,129799,130002,100,100,1.2539176838350843e+00,9.6544535892810484e-75
3,15977581,1307,1307,129800,130003,100,100,1.2645200306498103e+00,3.8291076917708162e-76
3,15977704,1292,1292,129801,130004,100,100,1.2674953342595925e+00,1.5440734627850288e-76
3,15977827,1260,1260,129802,130005,100,100,1.2697052269494953e+00,7.8595797544725279e-77
3,15977950,1228,1228,129803,130006,100,100,1.2746877895351678e+00,1.7108803545947154e-77
3,15978073,1227,1227,129804,130007,100,100,1.2749972802163234e+00,1.5561265120594075e-77
3,15978196,1119,1119,129805,130008,100,100,1.2868973804718695e+00,4.0273363534392837e-79
3,15978442,1117,1117,129806,130009,100,100,1.2870161580571358e+00,3.8827550921425337e-79
3,15978565,1054,1054,129807,130010,100,100,1.2946117954030674e+00,3.7346717159567527e-80
3,15978688,1037,1037,129808,130011,100,100,1.2960473763439488e+00,2.3973145107697911e-80
3,15978811,1101,1101,129809,130012,100,100,1.2888351134145806e+00,2.2176582850856872e-79
3,15978934,969,969,129810,130013,100,100,1.3040334607203365e+00,2.0266328845787045e-81
3,15979057,964,964,129811,130014,100,100,1.3049872672390055e+00,1.5080357336100945e-81
3,15979180,1071,1071,129812,130015,100,100,1.2924103829786855e+00,7.3668212225118998e-80
3,15979303,1024,1024,129813,130016,100,100,1.2972941908823539e+00,1.6308999929748159e-80
3,15979426,1079,1079,129814,130017,100,100,1.2915435584215182e+00,9.6245643056135296e-80
3,15979549,1083,1083,129815,130018,100,100,1.2910424785820214e+00,1.1232517259365788e-79
3,15979672,1180,1180,129816,130019,100,100,1.2811249533154700e+00,2.3756004666571093e-78
3,15979795,1184,1184,129817,130020,100,100,1.2802581223133995e+00,3.1000228307628273e-78
3,15979918,1176,1176,129818,130021,100,100,1.2819062507882346e+00,1.8687616198167316e-78
3,15980041,1265,1265,129819,130022,100,100,1.2693865353608502e+00,8.6637944886380409e-77
3,15980164,1390,1390,129820,130023,100,100,1.2573902627294649e+00,3.3599064528569033e-75
3,15980287,1528,1528,129821,130024,100,100,1.2468308388886813e+00,8.2827554854685783e-74
3,15980410,1607,1607,129822,130025,100,100,1.2400838039573761e+00,6.3719727393252093e-73
3,15980533,1577,1577,129823,130026,100,100,1.2427200874266491e+00,2.8730885074791255e-73
3,15980656,1673,1673,129824,130027,100,100,1.2315932832299259e+00,8.2359758808974021e-72
3,15980779,1749,1749,129825,130028,100,100,1.2255417125945522e+00,5.0744510932011102e-71
3,15980902,1929,1929,129826,130029,100,100,1.2146906178610448e+00,1.3063980969767510e-69
3,15981025,1894,1894,129827,130030,100,100,1.2162852003370435e+00,8.1133808643059754e-70
3,15981148,1886,1886,129828,130031,100,100,1.2165805295132566e+00,7.4279838894285275e-70
3,15981271,1876,1876,129829,130032,100,100,1.2172253172601439e+00,6.1258448457844399e-70
3,15981394,2019,2019,129830,130033,100,100,1.2095236892338472e+00,6.1007821966470610e-69
3,15981517,2253,2253,129831,130034,100,100,1.2019135745731553e+00,5.8655534517831102e-68
3,15981640,2481,2481,129832,130035,100,100,1.1941329094327111e+00,5.8841774512837018e-67
3,15981763,2758,2758,129833,130036,100,100,1.1840171482296364e+00,1.1644195243454425e-65
3,15981886,2772,2772,129834,130037,100,100,1.1836325262521348e+00,1.3040031303418485e-65
3,15982009,2948,2948,129835,130038,100,100,1.1785388695764600e+00,5.8287919546478882e-65
3,15982132,2980,2980,129836,130039,100,100,1.1775250158595114e+00,7.8491759953305586e-65
3,15982255,2946,2946,129837,130040,100,100,1.1786222733788609e+00,5.6877885387987575e-65
3,15982378,3323,3323,129838,130041,100,100,1.1673915638677628e+00,1.5244062728669695e-63
3,15982501,3768,3768,129839,130042,100,100,1.1568405415391991e+00,3.2927500592479969e-62
3,15982624,4425,4425,129840,130043,100,100,1.1444558303858301e+00,1.1878941527667237e-60
3,15982747,4933,4933,129841,130044,100,100,1.1347906733646693e+00,1.9188751556950412e-59
3,15972416,4445,4445,129758,129961,100,100,1.1440389503302326e+00,1.3397405529395748e-60
3,15972539,3489,3489,129759,129962,100,100,1.1628830329511761e+00,5.6779783917400363e-63
3,15972662,3399,3399,129760,129963,100,100,1.1651933584619445e+00,2.8953920798954037e-63
3,15972785,3517,3517,129761,129964,100,100,1.1621319928187437e+00,7.0664602307856912e-63
3,15972908,3600,3600,129762,129965,100,100,1.1601711926345104e+00,1.2504822177737504e-62
3,15973031,3560,3560,129763,129966,100,100,1.1610915746069552e+00,9.5665986710372444e-63
3,15973154,3478,3478,129764,129967,100,100,1.1631194014840811e+00,5.3001134893379416e-63
