bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
2,149569,3704,73251,3117,3117,0,0,3.6546512709838370e+00,2.2148724901514997e-04
2,149617,3381,70551,3118,3118,0,0,3.6896028392386158e+00,2.0436059607859406e-04
6,380161,2526,61513,7921,7921,0,0,3.8193653454666725e+00,1.5157747021317627e-04
4,479233,29803,35844,9985,9986,0,1,2.7519850395344889e+00,4.2845493747607585e-05
6,676561,2707,63468,14096,14096,0,0,3.7893763334464445e+00,1.6241407632120323e-04
4,912721,418191,67240,19016,19019,0,3,1.6470224481983700e+00,1.8408468606986210e-04
4,912913,132964,7006,19016,19020,4,0,2.1163755716651758e+00,4.5619221705589883e-07
2,913105,3299,69708,19024,19024,0,0,3.7009759981829902e+00,1.9907833590301023e-04
6,913441,1213,45251,19031,19031,0,0,4.1270382026693557e+00,7.4638310000979828e-05
6,24806352,2067,6103,516798,516799,1,0,3.9064562773548372e+00,2.9215278533206129e-07
6,25152336,465,30558,524007,524007,0,0,4.5397354815941089e+00,2.8857886329556612e-05
6,25266432,287,25610,526384,526384,0,0,4.7390036063248475e+00,1.8238805569900168e-05
6,26202576,2081,6135,545887,545888,0,1,3.9028604566424763e+00,2.9677191460089130e-07
2,26202624,2082,6136,545887,545888,1,0,3.9028604566424763e+00,2.9677191460089130e-07
2,26953872,3741,73562,561538,561539,0,0,3.6502362792308185e+00,2.2375034868027328e-04
4,27092064,91325,27104,564418,564420,0,2,2.2734111485551556e+00,2.1180680812488027e-05
2,27406656,4821,82474,570972,570972,0,0,3.5404296982030403e+00,2.8811794054501487e-04
4,27912000,161883,19862,581497,581500,3,0,2.0347179372706350e+00,9.3862141417007431e-06
2,27912048,4752,82000,581501,581501,0,0,3.5457676024288540e+00,2.8459836290997703e-04
