bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
8,924346,66266314,66266314,7496,7536,20,20,3.0538936110187853e-01,9.8106879279185810e-01
4,2906614,39747,39747,23612,23652,20,20,1.4946712062014467e+00,8.5459667208374472e-24
4,3137608,3150673,3150673,25490,25530,20,20,7.8368710331850344e-01,1.1154530556605950e-05
4,3138961,953327,953327,25501,25541,20,20,9.5983290962532264e-01,1.8604885344457913e-09
4,3890983,7290669,7290669,31615,31655,20,20,6.6678197848545662e-01,1.3218678009138082e-03
4,5553082,25826,25826,45128,45168,20,20,1.5740479018663092e+00,3.6969622598425961e-26
8,5623315,38079062,38079062,45699,45739,20,20,4.2872296666686888e-01,5.1210804702375889e-01
4,6196495,1298035,1298035,50359,50399,20,20,9.1305848989679483e-01,2.1689700236481876e-08
8,6212362,38511487,38511487,50488,50528,20,20,4.2679065979653635e-01,5.2356966050445308e-01
8,6238807,10678815,10678815,50703,50743,20,20,6.1450891557369247e-01,7.9897159351786165e-03
8,6555655,60255698,60255698,53279,53319,20,20,3.3409257269915166e-01,9.4015520346329451e-01
4,8508526,7161114,7161114,69156,69196,20,20,6.6925635533513006e-01,1.2071329456771497e-03
4,8795116,3236582,3236582,71486,71526,20,20,7.7987342641249757e-01,1.3222538439726809e-05
4,8879248,58217862,58217862,72169,72210,20,20,3.4309133351646748e-01,9.1913545323635482e-01
4,9300031,13453837,13453837,75591,75631,20,20,5.8278171246061261e-01,2.1135315087641174e-02
8,9906421,5835853,5835853,80521,80561,20,20,6.9745290575017849e-01,4.1478162451619041e-04
4,11111329,362621,362621,90317,90357,20,20,1.1135819489771503e+00,3.1946339486981552e-13
8,11787952,11704913,11704913,95818,95858,20,20,6.0194014650473904e-01,1.1880278274080103e-02
8,12062857,40593549,40593549,98053,98093,20,20,4.1761303388507337e-01,5.7805182100549846e-01
4,13111924,3160322,3160322,106582,106622,20,20,7.8325034432722107e-01,1.1374434641112482e-05
8,13442056,60697695,60697695,109266,109306,20,20,3.3210234469710881e-01,9.4421138623061907e-01
8,13455955,13916283,13916283,109379,109419,20,20,5.7812700360859504e-01,2.4179923294347223e-02
8,13510813,12024887,12024887,109825,109865,20,20,5.9824137592692750e-01,1.3314159593819421e-02
4,15982621,114221,114221,129920,129963,20,20,1.3074889792745654e+00,2.0253260495784561e-18
4,17976082,10409521,10409521,146128,146168,20,20,6.1800090879551561e-01,7.1375134802893368e-03
4,17977435,8935825,8935825,146139,146179,20,20,6.3890766184558401e-01,3.5516913152934247e-03
