bits,v_ind,r_density,r_naive_p,left_ind,right_ind,left_cnt,right_cnt,density,naive_p
2,149569,4594,42980,3117,3117,0,0,3.6546512709838397e+00,2.2148724901514816e-04
2,149617,4227,41209,3118,3118,0,0,3.6896028392386184e+00,2.0436059607859279e-04
6,380161,3157,35334,7921,7921,0,0,3.8193653454666761e+00,1.5157747021317503e-04
4,479233,35847,18787,9985,9986,0,1,2.7519850395344907e+00,4.2845493747607233e-05
6,676561,3381,36622,14096,14096,0,0,3.7893763334464436e+00,1.6241407632120372e-04
4,912721,176464,84882,19016,19017,0,1,2.0701783381915582e+00,7.6245987699263492e-04
4,912913,147029,19377,19018,19020,2,0,2.1471737273142524e+00,4.5525825295106745e-05
2,913105,4124,40629,19024,19024,0,0,3.7009759981829848e+00,1.9907833590301289e-04
6,913441,1552,24773,19031,19031,0,0,4.1270382026693504e+00,7.4638310000980750e-05
1,25671216,37324,4082,534817,534819,0,2,2.7358505355062483e+00,1.2307172233282842e-06
1,25671264,37325,4083,534817,534819,1,1,2.7358505355062483e+00,1.2307172233282842e-06
1,25671312,37326,4084,534817,534819,2,0,2.7358505355062483e+00,1.2307172233282842e-06
7,26202576,2615,2429,545887,545888,0,1,3.9028604566424763e+00,2.9677191460089130e-07
3,26202624,2616,2430,545887,545888,1,0,3.9028604566424763e+00,2.9677191460089130e-07
2,26953872,4637,43205,561538,561539,0,0,3.6502362792308158e+00,2.2375034868027464e-04
4,27092064,31204,16725,564418,564419,0,1,2.8126265960233696e+00,3.3067602112704097e-05
6,27912000,91,7097,581500,581500,0,0,5.3248409206158840e+00,4.7332460308834140e-06
1,28126656,98948,3786,585969,585975,2,1,2.3155837694575476e+00,1.0202496243640495e-06
1,28126752,98949,3787,585969,585975,3,0,2.3155837694575476e+00,1.0202496243640495e-06
