build,chr,posstart,posend,strand,gene
38,0,577,647,1,J01415.2
38,0,648,1601,1,J01415.24
38,0,1176,1259,1,BX088702.1
38,0,1481,1563,-1,CU463998.2
38,0,1602,1670,1,J01415.3
38,0,1671,3229,1,J01415.4
38,0,3055,3137,-1,CU463998.1
38,0,3230,3304,1,J01415.1
38,0,3307,4262,1,MT-ND1
38,0,3772,3853,-1,CU463998.3
38,0,3905,22432,1,AC002321.2
38,0,3916,3999,-1,CU463998.4
38,0,4263,4331,1,J01415.5
38,0,4329,4400,-1,J01415.6
38,0,4402,4469,1,J01415.7
38,0,4470,5511,1,MT-ND2
38,0,4595,21866,1,CSF3R
38,0,4607,4688,1,CU459202.1
38,0,4613,37971,1,KCNH2
38,0,4722,4804,1,BX088702.2
38,0,4767,43529,1,CASP10
38,0,4807,66294,1,CFI
38,0,4826,19519,1,TAPBP
38,0,4868,100494,1,CFH
38,0,4923,9150,1,IL2RG
38,0,4930,30307,1,PCSK9
38,0,4940,56616,1,IL2RA
38,0,4949,73032,1,MLPH
38,0,4951,287701,1,NF1
38,0,4952,65085,1,NDRG1
38,0,4960,28210,1,JAK3
38,0,4961,5048,-1,AC108004.4
38,0,4963,14787,1,FCGR1A
38,0,4969,29798,1,ICOS
38,0,4975,11294,1,RAG2
38,0,4978,40020,1,NCF2
38,0,4979,18339,1,TNFRSF1A
38,0,4981,20466,1,ORAI1
38,0,4982,48460,1,CD46
38,0,4982,49450,1,LDLR
38,0,4983,31861,1,SH2D1A
38,0,4985,21088,1,PIGA
38,0,4985,8229,1,NFKBIA
38,0,4986,59254,1,CASP8
38,0,4991,17956,1,CAV3
38,0,4997,13624,1,PNP
38,0,5000,92970,1,CD247
38,0,5000,38469,1,CD59
38,0,5001,22544,1,COL1A1
38,0,5001,12341,1,PPIB
38,0,5001,23546,1,RASGRP2
38,0,5001,11654,1,RFX5
38,0,5001,14671,1,RFXANK
38,0,5001,15402,1,RFXAP
38,0,5001,22300,1,SERPING1
38,0,5001,75640,1,SMARCAL1
38,0,5001,56194,1,SP110
38,0,5001,31740,1,CDKN2A
38,0,5001,78391,1,SPINK5
38,0,5001,50215,1,STAT1
38,0,5001,46423,1,STX11
38,0,5001,16884,1,TCIRG1
38,0,5001,24887,1,TCN2
38,0,5001,20944,1,TLR3
38,0,5001,24490,1,TMC6
38,0,5001,17191,1,TMC8
38,0,5001,15508,1,FKBP10
38,0,5001,38005,1,TNFRSF13B
